"uso_principal","quantidade"
" ",6176
"IRRIGANTE",2056
"AQUICULTOR",1737
"US.RURAL",1199
"Barragem de Rejeito",660
"Hidrelétrica",642
"INDUSTRIAL",472
"Irrigação",412
"PECUARISTA",281
"abastecimento de água",236
"Abastecimento de água",225
"LOTEADOR",214
"Destilaria de Ácool",192
"OUTROS",189
"Dessedentação Animal",187
"SOLALT I",172
"Dessedentação animal",137
"Piscicultura",129
"Abastecimento",95
"Indústria",85
"DESSEDENTAÇÃO ANIMAL ",79
"IRRIGAÇÃO",76
"IRRIG/AQUI",56
"Aquicultura",54
"Abastecimento humano",52
"irrigação",46
"US.COMUNIT",43
"AQUIC/PECU",43
"COMERCIANT",39
"AQUICULTURA",34
"Combate às secas",33
"MINERADOR",32
"CONDOMINIO",32
"ABASTECIMENTO PUBLICO DE ÁGUA POTÁVEL",28
"Industrial",28
"Lazer",24
"US.URBANO",24
"CONCESSION",20
"dessedentação animal",20
"Regularização de vazões",18
"acumulação",16
"Abastecimento e irrigação",16
"CONSTRUTOR",15
"recreação",15
"Outros",13
"Abastecimento Hidroagrícola",12
"Dessedentação Animal e Abastecimento",12
"CRIADOR",12
"IRRIG/PECU",11
"Abastecimento Humano",10
"Abastecimento humano e animal",10
"Multiplo",9
"Dessedentação Animal ",9
"industrial",9
"ABASTECIMENTO HUMANO",9
"PISCICULTURA",8
"Abastecimento. irrigação e piscicultura",8
"Regularização de Vazão",6
"Abastecimento humano e animal; irrigação",6
"Agricultura",6
"Abastecimento público",6
"Lazer e turismo ",5
"Contenção de Rejeitos",5
"Agricultura/Piscicultura",5
"Dessedentação Animal e Irrigação",5
"Abastecimento hidro-agrícola",5
"Sem informação",4
"abastecimento de agua",4
"Recreação/Turismo/Lazer",4
"sem informação",4
"Abastecimento humano. animal e irrigação",4
"DESSEDENTAÇÃO ANIMAL",4
"ABASTECIMENTO",4
"SEM INFORMAÇÃO",4
"Recreação",4
"Abastecimento industrial",4
"Dessedentação animal ",3
"Piscicultura ",3
"ABASTECIMENTO ANIMAL",3
"RESERVAÇÃO",3
"Sem Uso",3
"Acúmulo de água",3
"PERENIZAÇÃO",3
"ACUMULAÇÃO",3
"AVICULTOR",3
"CONTENÇÃO CONTRA BARRAMENTO",3
"ABASTASTECIMENTO HUMANO",3
"contenção de resíduos industriais",3
"Agropecuário",3
"Não há",3
"Abastecimento Industrial e Irrigação",3
"Regularização de vazão",3
"Não há uso",3
"CRIAÇÃO DE ANIMAIS",3
"Sem Informação",3
"Desedentação animal",3
"Contenção de cheias",3
"Defesa contra inundações",3
"Dessedentação de Animais",2
"Piscicultura/Tanque rede",2
"aquicultura",2
"regularização de vazões",2
"Psicultura",2
"HIDROELETR",2
"REGULARIZAÇÃO",2
"CAPTAÇÃO PARA PISCICULTURA",2
"Abastecimento Local",2
"Piscicultura/tanque",2
"Abastecimento e Irrigação",2
"CAPTAÇÃO DE ÁGUA SUPERFICIAL",2
"abastecimento doméstico/sanitário (excluindo consumo humano)",2
"Serviços",2
"Uso industrial",2
"Pesca",2
"Dessedentação Animal. Irrigação e Abastecimento",2
"INDUSTRIA",2
"Irrigação ",2
"Irrigação e Abastecimento Local",2
"Abastecimento. Piscicultura e Irrigação",2
"Serviços/semcontato primário",2
"Abastecimento Público",2
"Abastecimento animal e irrigação",2
"ABASTECIMENTO HUMANO E ANIMAL",2
"Controle de Cheias",2
"Controle de Cheia",2
"Dessedentação Animal e Abastecimento ",2
"Dessedentação Animal. Lazer e Psicultura",1
"TERMOELETR",1
"Abastecimento humano. animal e irrigaçào",1
"Irrigação de arroz",1
"Irrigação; atualmente abastecimento animal",1
"Abastecimento. Lavagem de Roupa e irrigação",1
"Abastecimento animal e plantio vazante",1
"Utilização no processo industrial",1
"abastecimento doméstico/sanitário (excluindo consumo humano) ",1
"Dessendentação animal",1
"Abastecimento e piscicultura",1
"ABASTECIMENTO/ESGOTAMENTO",1
"Reserva hídrica",1
"Abastecimento. Irrigação e Piscicultura",1
"abastecimento industrial ",1
