"uso_principal","count"
"IRRIGAÇÃO",76
"TERMOELETR",1
"Abastecimento humano. animal e irrigaçào",1
NULL,0
"Sem Uso",3
"Abastecimento Hidroagrícola",12
"CONCESSION",20
"OUTROS",189
"Irrigação de arroz",1
"Irrigação; atualmente abastecimento animal",1
"Dessedentação Animal e Abastecimento",12
"HIDROELETR",2
"Regularização de vazão",3
"Abastecimento. Lavagem de Roupa e irrigação",1
"acumulação",16
"Abastecimento animal e plantio vazante",1
"Utilização no processo industrial",1
"ACUMULAÇÃO",3
"abastecimento doméstico/sanitário (excluindo consumo humano) ",1
"industrial",9
"Dessendentação animal",1
"Abastecimento Público",2
"Abastecimento e piscicultura",1
"ABASTECIMENTO/ESGOTAMENTO",1
"LOTEADOR",214
"SEM INFORMAÇÃO",4
"Reserva hídrica",1
"Contenção de Rejeitos",5
"Abastecimento. Irrigação e Piscicultura",1
"abastecimento industrial ",1
"Abastecimento e perenização do riacho Santana",1
"Abastecimento humano e animal da comunidade ""Pelo Sinal""",1
"Consumo humano",1
"IRRIG/PECU",11
"Irrigação e Dessedentação animal",1
"Abastecimento humano. animal e irrigação",4
"Industrial",28
"Abastecimento animal. irrigação e lavagem de roupa",1
"Abastecimento",95
"AQUIC/PECU",43
"US.COMUNIT",43
"DESSEDENTAÇÃO ANIMAL",4
"RESERVAÇÃO",3
"PISCICULTURA DE SUBSISTENCIA ",1
"Perenização do rio Piancó. Piscicultura e irrigação",1
"Psicicultura",1
"Indústria",85
"Lazer e turismo ",5
"ABASTASTECIMENTO HUMANO",3
"Abastecimento. Irrigação. Pscicultura",1
"Abastecimento. Irrigação. Piscicultura",1
"Piscucltura/tanque escavado",1
"Abastecimento e recreação",1
"Não há uso",3
"Recreação",4
"Irrigação e Psicultura",1
"RESERVATORIO PARA IRRIGAÇÃO DO PIVO CENTRAL",1
"US.URBANO",24
"DESVIAR O CURSO DO CORREGO",1
"Dessedentação animal ",3
"abastecimento doméstico/sanitário",1
"Abastecimento Industrial e Irrigação",3
" ",6176
"CONTENÇÃO CONTRA BARRAMENTO",3
"Abastecimento. Irrigação. Psicultura. Perenização e Turismo",1
"Abastecimento e irrigação",16
"DESSEDENTAÇÃO ANIMAL ",79
"Acúmulo de água para mineração",1
"US.RURAL",1199
"Dessedentação Animal ",9
"Abastecimento Industrial ",1
"PISCICULTURA",8
"CAPTAÇÃO DE ÁGUA SUPERFICIAL",2
"Abastecimento e Irrigação",2
"RECREAÇÃO / PAISAGEM",1
"sem informação",4
"Abastecimento. Irrigação. Psicultura. Perenização. Energização e Turismo",1
"INDUSTRIA",2
"CRIAÇÃO DE PEIXE (FORA DA BARRAGEM TANQUE)",1
"Irrigação/gotejamento",1
"piscicultura",1
"Piscicultura/tanque",2
"lazer e turismo",1
"Abastecimento Local. Irrigação e Recreação",1
"Aquicultura",54
"Pesca",2
"uso doméstico e consumo humano",1
"Combate às secas",33
"Irrigação ",2
"Abastecimento doméstico",1
"AQUICULTURA",34
"Abastecimento de Água",1
"Paisagistico",1
"PSICULTURA",1
"Dessedentação Animal e Irrigação",5
"Abastecimento. Irrigação. Piscultura",1
"Regularização de vazões",18
"Irrigação",412
"ABASTECIMENTO",4
"sem uso",1
"CONSTRUTOR",15
"Abastecimento e Perenização",1
"Multiplo",9
"URBANISTICA",1
"contenção de resíduos industriais",3
"Agropecuário",3
"Agricultura/Piscicultura",5
"dessedentação animal",20
"IRRIGAÇÃO E PASTAGEM",1
"Destilaria de Ácool",192
"Irrigação/aspersão",1
"IRRIGAÇÃO. PISCICULTURA",1
"Dessedentação Animal e Abastecimento ",2
"IRRIGANTE",2056
"regularização de vazões",2
"REGULARIZAÇÃO",2
"Acumulação",1
"Abastecimento público",6
"Abastecimento animal e irrigação",2
"Irrigação. Piscicultura e Controle de Cheias",1
"Abastecimento humano",52
"Dessedentação Animal. Irrigação e Abastecimento",2
"Dessedentação de Animais",2
"Abastecimento industrial",4
"SOLALT I",172
"ABASTECIMENTO HUMANO E ANIMAL",2
"Dessedentação Animal e Psicultura",1
"Abastecimento doméstico/sanitário",1
"COMERCIANT",39
"Controle de Cheias",2
"Sem Informação",3
"ABASTECIMENTO HUMANO",9
"MINERADOR",32
"abastecimento de agua",4
"Abastecimento. irrigação. piscicultura e perenização do Rio Piancó",1
"CRIAÇÃO DE ANIMAIS",3
"Irrigação e pscicultura",1
"Irrigação / Controle de Cheias",1
"Recreação/Turismo/Lazer",4
"abastecimento de água",236
"Abastecimento e Piscicultura",1
"Sem informação",4
"Abastecimento Humano",10
"contenção de sólidos",1
"Serviços/semcontato primário",2
"Abastecimento. irrigação e piscicultura",8
"Irrigação e Abastecimento Local",2
"Abastecimento humano e animal; irrigação",6
"Não há",3
"Dessedentação animal",137
"Abastecimento humano e animal dos moradores próximos",1
"Regularização de Vazão",6
"Psicultura",2
"Lazer",24
"aquicultura",2
"Barragem",1
"AVICULTOR",3
"lazer",1
"Controle de Cheia",2
"IRRIGAÇÃO DE PRODUÇÃO AGRICOLA",1
"Abastecimento. e piscicultura",1
"Barragem/Piscicultura",1
"PERENIZAÇÃO",3
"Dessedentação Animal",187
"Acúmulo de água",3
"ABASTECIMENTO PUBLICO DE ÁGUA POTÁVEL",28
"Lazer e Turismo ",1
"Psicultura e Dessedentação Animal",1
"Outros",13
"Abastecimento. Piscicultura e Irrigação",2
"Abastecimento animal",1
"ABASTECIMENTO ANIMAL",3
"Uso industrial",2
"Serviços",2
"IRRIGAÇÃO E CRIAÇÃO DE ANIMAIS",1
"Piscicultura ",3
"Abastecimento humano e animal",10
"CRIADOR",12
"Abastecimento de tanques pesqueiros",1
