"uso_principal","quantidade"
"Irrigação",22323
"Dessedentação animal",9861
"Abastecimento humano",3936
"Aquicultura",3252
"contenção de rejeitos de mineração",2805
"Hidrelétrica",2721
"Dessedentação Animal",2298
"Sem Informação",2148
"Industrial",1122
"Outros",732
"Recreação",561
"Regularização de vazão",507
"contenção de resíduos industriais",132
"Proteção do meio ambiente",99
"Combate às secas",93
"Defesa contra inundações",66
"Sem informação",45
"recreação",36
"Proteção do Meio Ambiente",27
"sem informação",18
"irrigação",15
"sem Informação",12
"abastecimento humano",3
NULL,0
