FID,id_objeto,nome,nomeabrev,geometriaaproximada,emduto,tensaoeletrica,numcircuitos,especie,posicaorelativa,operacional,situacaofisica,id_produtor,id_elementoprodutor,geom
BC250_2017_Trecho_Energia_L.1,1, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,18,"MULTILINESTRING ((-39.202516138 -6.99999999999994, -39.206228481000004 -6.99578035499997))"
BC250_2017_Trecho_Energia_L.2,2, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,14,"MULTILINESTRING ((-41.99999999999989 -4.58312182399993, -41.999168873 -4.58151118799998, -41.9860376789999 -4.55616530999993, -41.978829392 -4.54168203399996, -41.9742673869999 -4.53314804499996, -41.965081041 -4.51470186599994, -41.958172147000006 -4.5001224239999305, -41.955251385999894 -4.494455110999979, -41.954278137 -4.49292128399998, -41.9531125829999 -4.4913002559999295, -41.9491437249999 -4.48690882399995, -41.940728064999995 -4.47915328499994, -41.9347673949999 -4.47352034299996, -41.929947931 -4.46894002699997, -41.923467157999895 -4.46302367999994, -41.91557656 -4.455657418999979, -41.907674803 -4.44832070199993, -41.8959660909999 -4.437413351999959, -41.887055782999894 -4.4288885869999595, -41.877390455 -4.420136243999929, -41.870908527999994 -4.41322058099996, -41.863944671999896 -4.406786845999929, -41.859149492 -4.40235311099997, -41.8508844309999 -4.39435311099993, -41.841944672000004 -4.38642539999995, -41.832257925 -4.37767841199997, -41.822137443 -4.367943472999969, -41.8149085279999 -4.36134106299994, -41.808836238000005 -4.35575070199997, -41.8016796119999 -4.34878684599994, -41.7927639489999 -4.3399916649999595, -41.7790290089999 -4.326304917999949, -41.7747579159999 -4.321461884999961, -41.772078381 -4.316660276999929, -41.766349808 -4.30539486999993, -41.7624625609999 -4.29733789099993, -41.756727562 -4.28872969599996, -41.753031719 -4.28448206199994, -41.747487898 -4.28134253599995, -41.734541457000006 -4.27550707799998, -41.718170266 -4.268462287999969, -41.7004322079999 -4.2608066469999795, -41.685186785 -4.254158207999979, -41.6657142189999 -4.245308338999959, -41.653759099 -4.24005158599994, -41.639400966000004 -4.23234448399995, -41.62299568899989 -4.22447393999994, -41.610220248 -4.217786196999949, -41.590943135 -4.20754930299995, -41.5698828939999 -4.19670592999995, -41.545655317 -4.184472997999929, -41.52363122 -4.17387058799994, -41.499679413 -4.16172600999994, -41.461473254999895 -4.14217313199993, -41.429185882999896 -4.125983929999959, -41.380521894000005 -4.100852292999949, -41.3315152 -4.076177593999939, -41.2856461109999 -4.05227168299996, -41.265087711999996 -4.04167870899994, -41.215609801 -4.01607585299996, -41.1874987969999 -4.00244375699998, -41.182633149 -3.99999999999994))"
BC250_2017_Trecho_Energia_L.3,3, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,17,"MULTILINESTRING ((-40.49999999999989 -6.1082537329999695, -40.260101751 -6.44334969899995, -39.93360494 -6.99999999999994))"
BC250_2017_Trecho_Energia_L.4,4, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,11,"MULTILINESTRING ((-41.759499755 -4.1372747539999795, -41.774040773 -4.0851729709999605, -41.773915313 -4.06409085199994, -41.7729099379999 -4.04162607599994, -41.7729099379999 -4.01757135499997, -41.772533556000006 -4.0055058569999495, -41.77256932700001 -3.99999999999994))"
BC250_2017_Trecho_Energia_L.5,5, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,28,"MULTILINESTRING ((-38.641455492 -7.99999999999994, -38.6278378809999 -7.99712779899994, -38.557793101 -7.99312846899994, -38.511043569 -7.99054747899993, -38.465717281 -7.98752360699996, -38.427147486 -7.98516579499994, -38.349482321 -7.98089320699995, -38.33382962 -7.97958326399993, -38.324797303 -7.97640371599994, -38.3156462599999 -7.97541824299998, -38.3052488869999 -7.97261252399994, -38.2960569439999 -7.97027741999995, -38.2947164509999 -7.97058366399995, -38.2876625329999 -7.97510386199997, -38.286225864 -7.97534448099998))"
BC250_2017_Trecho_Energia_L.6,6, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,6,"MULTILINESTRING ((-41.477550816 -6.99999999999994, -41.3903457289999 -6.90734459599997, -40.848304141 -6.19884929199998, -40.696172454 -5.99999999999994))"
BC250_2017_Trecho_Energia_L.7,7, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,27,"MULTILINESTRING ((-37.97257509 -7.87292840699996, -37.9734554899999 -7.87178626499997, -37.9847772809999 -7.871856256999929, -38.017496109 -7.88412475599995, -38.038909912 -7.89198303199993, -38.072959899999894 -7.90442657499995, -38.103723526 -7.9155998229999796, -38.1146583559999 -7.91999244699997, -38.135976791000004 -7.927141189999929, -38.160290964000005 -7.93648742899995, -38.18347168 -7.94525718699998, -38.1951465609999 -7.9495086669999795, -38.215307235999894 -7.95737647999994, -38.230716705000006 -7.96210479699994, -38.251699448 -7.96771812399993, -38.27370452899989 -7.973314284999959, -38.2858533639999 -7.97543383599998))"
BC250_2017_Trecho_Energia_L.8,8, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,30,"MULTILINESTRING ((-38.9404605729999 -7.30601117199996, -38.940626343999995 -7.29191920999995, -38.954165857 -7.271589380999959, -38.9575518509999 -7.26726967999997, -38.9701927 -7.2523727899999795, -38.979712471999996 -7.241374810999959, -38.990107419000005 -7.22921648099998, -38.995496185 -7.2228376779999595, -38.99999999999989 -7.2176245779999695))"
BC250_2017_Trecho_Energia_L.9,9, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,7,"MULTILINESTRING ((-40.49999999999989 -5.55117547399993, -40.5010923419999 -5.54855382999995, -40.505653074 -5.53794448099995))"
BC250_2017_Trecho_Energia_L.10,10, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,5,"MULTILINESTRING ((-40.6348668599999 -5.91986827799997, -40.5774998319999 -5.99999999999994, -40.4999999999999 -6.10825373299997))"
BC250_2017_Trecho_Energia_L.11,11, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,25,"MULTILINESTRING ((-38.5829195869999 -4.00145824799995, -38.582919217 -4.00135714799995, -38.5826243129999 -3.99999999999994))"
BC250_2017_Trecho_Energia_L.12,12, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,16,"MULTILINESTRING ((-39.6692074699999 -4.99999999999994, -39.682368618999895 -4.703051577999929, -39.319500816 -4.31638916399993, -39.074953056 -3.99999999999994))"
