FID,Identificacao_Ponto,Tipo_Ponto,Legenda_Vegetacao_Ponto,Latitude,Longitude,Nivel_Amostragem,Tecnica_Amostragem,Variavel_Medida_Amostragem,Forma_Geometrica_Usada_Amostra,Largura_Forma_Geometrica_Amostra_Primaria_metro,Comprimento_Forma_Geometrica_Amostra_Primaria_metro,Volume_Madeira_m3_ou_Lenha_m3stX100_por_Hectare,Total_Individuos_Ponto,Total_Especies_Ponto,the_geom
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2296,NA19YB/RB/A.1,Inventário,Asp, 01:21:28,-69:41:27,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,203.36,65,24,POINT (-69.69161311817727 1.3577012486747138)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2297,NA19YB/RB/A.15,Inventário,Asp, 01:20:18,-69:09:07,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,89.88,68,35,POINT (-69.1526190358184 1.337995984187871)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2298,NA19YB/RB/A.16,Inventário,Asp, 01:20:57,-69:09:07,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,103.54,100,43,POINT (-69.15261918213125 1.3489107023439277)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2299,NA19YB/RB/A.58,Inventário,Abc, 01:38:38,-69:03:26,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,136.99,89,36,POINT (-69.0579323388838 1.6436977912327668)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229a,NA19YB/RB/A.7,Inventário,Dse, 01:37:56,-69:39:32,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,122.02,68,27,POINT (-69.6595309148479 1.6319727451491632)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229b,NA19YB/RB/A.8,Inventário,Dse, 01:38:16,-69:40:48,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,95.72,46,23,POINT (-69.6807452755426 1.637556885526489)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229c,NA19YB/RB/A.89,Inventário,Asp, 01:30:28,-69:28:54,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,89.93,52,28,POINT (-69.48237822150742 1.5075043622209277)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229d,NA19YB/RB/A.90,Inventário,Asp, 01:39:28,-69:27:41,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,44.51,18,13,POINT (-69.46194488052927 1.657458922709696)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229e,NA19YB/RB/A.91,Inventário,Asp, 01:29:35,-69:29:10,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,68.14,44,30,POINT (-69.4867589413299 1.4928871746919385)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_229f,NA19YB/RB/A.92,Inventário,Asp, 01:43:21,-69:40:41,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,49.8,52,18,POINT (-69.67887133800402 1.7222054035619656)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_22a0,NA19YB/RB/A.93,Inventário,Asp, 01:42:05,-69:49:01,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,95.56,66,26,POINT (-69.8176654032115 1.7010811083448465)
