AL;10.000,00;10.000,00;10.000,00;10.000,00;0,00
AP;239.000,00;7.300,00;7.300,00;7.300,00;0,00
CE;3.106.959,92;3.106.959,92;3.106.959,92;3.106.959,92;0,00
ES;535.018,00;465.000,00;451.278,00;451.278,00;0,00
GO;613.200,00;613.200,00;613.200,00;613.200,00;0,00
MG;2.132.194,00;191.432,00;181.113,00;177.657,00;40.161,00
PB;7.878.598,00;11.972.902,66;11.972.902,66;11.972.902,66;0,00
PE;5.126.214,65;3.518.364,43;2.617.113,83;2.617.113,83;514.251,12
PI;401.000,00;401.000,00;401.000,00;401.000,00;0,00
PR;487.310,00;487.310,00;487.310,00;487.310,00;0,00
RJ;2.291.545,67;2.291.545,67;1.675.502,22;1.285.231,33;22.039,00
RN;107.830.000,00;89.517.376,34;33.109.775,85;33.004.670,10;0,00
RO;17.250,00;17.250,00;17.250,00;17.250,00;17.250,00
RR;23.530,00;23.530,00;23.530,00;23.530,00;23.530,00
SE;1.370.517,12;1.370.517,12;680.701,42;680.701,42;0,00
TOTAL;132.062.337,36;113.993.688,14;55.354.936,90;54.856.104,26;617.231,12
